player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
Case Keenum,Houston,160.6,4,2007,2011,1546.0,2229.0,69.4,19217.0,155.0,46.0,2529.0,20114.0,178.0,8.6,9.1,,337.1,8.0
Will Rogers,Washington,,4,2020,2024,1432.0,2054.0,69.7,13940.0,106.0,,2241.0,13593.0,108.0,,,,284.5,
Luke Falk,Washington State,,3,2014,2017,1404.0,2055.0,68.3,14486.0,119.0,,2306.0,14086.0,123.0,,,,344.9,
Graham Harrell,Texas Tech,154.3,3,2005,2008,1403.0,2011.0,69.8,15793.0,134.0,,2124.0,15611.0,146.0,,8.4,,351.0,7.3
Timmy Chang,Hawaii,,4,2000,2004,1388.0,2436.0,,17072.0,117.0,80.0,2587.0,16910.0,123.0,,,,322.1,
Landry Jones,Oklahoma,,3,2009,2012,1388.0,2183.0,63.6,16646.0,123.0,52.0,2315.0,16271.0,126.0,,,,314.1,7.0
Bo Nix,Oregon,149.6,4,2019,2023,1286.0,1936.0,66.4,15351.0,113.0,,2341.0,16964.0,152.0,,8.5,,251.7,7.2
Kliff Kingsbury,Texas Tech,,3,1999,2002,1231.0,1883.0,65.4,12429.0,95.0,40.0,2156.0,12263.0,100.0,,,,289.0,
Sean Mannion,Oregon State,,3,2011,2014,1187.0,1838.0,64.6,13600.0,83.0,54.0,1970.0,12796.0,85.0,,,,289.4,
Dillon Gabriel,Oregon,160.6,5,2019,2024,1180.0,1831.0,64.4,16314.0,136.0,,2204.0,17445.0,166.0,8.9,9.7,13.8,296.6,7.9
Corey Robinson,Troy,,3,2010,2013,1179.0,1823.0,64.7,13477.0,81.0,48.0,1973.0,13141.0,84.0,,,,280.8,6.7
Dan Lefevour,Central Michigan,,3,2006,2009,1171.0,1763.0,66.4,12905.0,102.0,,2434.0,15853.0,150.0,,,,243.5,
Colt McCoy,Texas,155.0,3,2006,2009,1157.0,1645.0,70.3,13253.0,112.0,45.0,2092.0,14824.0,132.0,8.1,8.2,,250.1,7.1
Kellen Moore,Boise State,169.0,3,2008,2011,1157.0,1658.0,69.8,14667.0,142.0,,1759.0,14534.0,146.0,8.8,9.8,,276.7,8.3
Rakeem Cato,Marshall,145.8,3,2011,2014,1153.0,1838.0,62.7,14079.0,131.0,44.0,2145.0,14918.0,146.0,,,,265.6,7.0
Sam Hartman,Notre Dame,147.2,5,2018,2023,1135.0,1898.0,,15656.0,134.0,49.0,2359.0,16634.0,154.0,8.2,8.5,13.8,260.9,7.1
Holton Ahlers,East Carolina,,4,2018,2022,1127.0,1857.0,,13927.0,97.0,,2326.0,15373.0,123.0,,,,253.2,
Colt Brennan,Hawaii,167.6,2,2005,2007,1115.0,1584.0,70.4,14193.0,131.0,42.0,1851.0,14740.0,146.0,9.0,9.4,,373.5,8.0
Chase Daniel,Missouri,148.9,3,2005,2008,1094.0,1609.0,68.0,12515.0,101.0,41.0,1973.0,13485.0,111.0,,,,245.4,6.8
Derek Carr,Fresno State,152.8,4,2009,2013,1087.0,1630.0,66.7,12843.0,113.0,,1794.0,13033.0,118.0,,8.6,,291.9,7.3
Philip Rivers,North Carolina State,144.2,3,2000,2003,1087.0,1710.0,63.6,13484.0,95.0,,1962.0,13580.0,113.0,,8.1,,275.2,6.9
Chase Holbrook,New Mexico State,145.6,2,2006,2008,1086.0,1566.0,69.3,11846.0,85.0,41.0,1782.0,11577.0,93.0,,,,329.1,
Michael Penix Jr.,Washington,146.6,5,2018,2023,1067.0,1685.0,63.3,13741.0,96.0,,1819.0,14006.0,109.0,8.2,8.4,,286.3,7.7
Zac Dysert,Miami (OH),,3,2009,2012,1066.0,1672.0,63.8,12013.0,73.0,51.0,2133.0,12678.0,85.0,,,,261.2,
Luke McCown,Louisiana Tech,,3,2000,2003,1063.0,1775.0,,12666.0,87.0,62.0,2049.0,12731.0,97.0,,,,294.6,
Brent Stockstill,Middle Tennessee State,148.1,4,2014,2018,1055.0,1610.0,65.5,12495.0,106.0,,1882.0,12954.0,110.0,,8.1,,277.7,6.9
Shane Carden,East Carolina,144.6,2,2012,2014,1052.0,1579.0,66.6,11991.0,86.0,,1850.0,12244.0,112.0,,,,307.5,6.6
Kenny Pickett,Pitt,,4,2017,2021,1045.0,1674.0,62.4,12303.0,81.0,,2090.0,13112.0,102.0,,,,236.6,
Mason Fine,North Texas,,3,2016,2019,1039.0,1655.0,62.8,12505.0,93.0,,1979.0,12562.0,100.0,,,,255.2,
Brett Rypien,Boise State,149.2,3,2015,2018,1036.0,1619.0,64.0,13581.0,90.0,,1829.0,13484.0,95.0,8.4,8.7,,271.6,7.4
Keith Wenning,Ball State,,3,2010,2013,1035.0,1642.0,63.0,11402.0,92.0,42.0,1832.0,11730.0,106.0,,,,232.7,
Frank Harris,UTSA,146.9,4,2019,2023,1034.0,1547.0,66.8,11862.0,92.0,,2005.0,14007.0,121.0,,,,,7.0
Chris Redman,Louisville,,3,1996,1999,1031.0,1679.0,61.4,12541.0,84.0,51.0,1846.0,12129.0,87.0,,,,291.7,
Baker Mayfield,Oklahoma,175.4,4,2013,2017,1026.0,1497.0,68.5,14607.0,131.0,,1901.0,15690.0,153.0,9.8,10.6,14.2,304.3,8.3
Brandon Doughty,Western Kentucky,161.0,4,2011,2015,1023.0,1491.0,68.6,12855.0,111.0,,1593.0,12570.0,115.0,8.6,9.1,,299.0,7.9
Cooper Rush,Central Michigan,,3,2013,2016,1022.0,1648.0,62.0,12894.0,90.0,55.0,1863.0,12786.0,95.0,,,,257.9,6.9
Tim Rattay,Louisiana Tech,154.3,2,1997,1999,1015.0,1552.0,65.4,12746.0,115.0,,1705.0,12643.0,117.0,8.2,8.7,,386.2,7.4
Connor Halliday,Washington State,,3,2011,2014,1014.0,1634.0,62.1,11308.0,90.0,50.0,1746.0,10816.0,90.0,,,,323.1,
