player,drafted,yrs_played,teams,hof,wAV,earnings_mils,comp_%,pass_rating,comp,att,pass_yds,TD,pass_yds_game,int,int_%,pick_6,sacks,4QC,GWD
Tom Brady,2000,23,"['Patriots', 'Buccaneers']",0,184.0,317.62,64.3,97.2,7753,12050,89214,649,266,212,1.8,18,565,46,58
Drew Brees,2001,20,"['Saints', 'Chargers']",0,167.0,273.933,67.7,98.7,7142,10551,80358,571,280,243,2.3,27,420,36,53
Peyton Manning,1998,18,"['Colts', 'Broncos']",1,176.0,247.714,65.3,96.5,6125,9380,71940,539,270,251,2.7,27,303,43,54
Brett Favre,1991,20,"['Packers', 'Vikings', 'Jets', 'Falcons']",1,158.0,141.407,62.0,86.0,6300,10169,71838,508,237,336,3.3,32,525,28,43
Ben Roethlisberger,2004,18,['Steelers'],0,131.0,266.724,64.4,93.5,5440,8443,64088,418,257,211,2.5,18,554,41,53
Philip Rivers,2004,17,"['Chargers', 'Colts']",0,149.0,242.15,64.9,95.2,5277,8134,63440,421,260,209,2.6,25,464,29,35
Matt Ryan,2008,15,"['Falcons', 'Colts']",0,146.0,306.206,65.6,93.6,5551,8464,62792,381,268,183,2.2,20,488,38,46
Dan Marino,1983,17,['Dolphins'],1,145.0,51.0,59.4,86.4,4967,8358,61361,420,253,252,3.0,29,270,33,47
Aaron Rodgers,2005,20,"['Packers', 'Jets']",0,163.0,343.531,65.2,103.0,5112,7843,60148,482,254,109,1.4,5,544,21,32
Matthew Stafford,,16,[],0,121.0,,63.3,90.9,4952,7824,57285,360,271,183,2.3,30,490,36,45
Eli Manning,2004,16,['Giants'],0,121.0,232.49,60.3,84.1,4895,8119,57023,366,241,244,3.0,22,411,27,37
John Elway,1983,16,['Broncos'],1,140.0,47.445,56.9,79.9,4123,7250,51475,300,220,226,3.1,18,516,31,40
Warren Moon,,17,[],1,116.0,,58.4,80.9,3988,6823,49325,291,237,233,3.4,16,458,25,35
Fran Tarkenton,,18,[],1,148.0,,57.0,80.4,3686,6467,47003,342,191,266,4.1,12,570,29,33
Carson Palmer,2003,14,"['Bengals', 'Cardinals', 'Raiders']",0,107.0,172.5,62.5,87.9,3941,6307,46247,294,254,187,3.0,23,340,22,35
Vinny Testaverde,,21,[],0,97.0,,56.5,75.0,3787,6701,46233,275,198,267,4.0,23,417,29,33
Drew Bledsoe,1993,14,"['Patriots', 'Bills', 'Cowboys']",0,105.0,79.656,57.2,77.1,3839,6717,44611,251,230,206,3.1,15,467,24,31
Joe Flacco,2008,17,"['Ravens', 'Broncos', 'Jets', 'Eagles', 'Colts', 'Browns']",0,95.0,177.435,61.7,84.5,4053,6573,44463,250,234,155,2.4,13,392,20,26
Russell Wilson,2012,12,"['Seahawks', 'Broncos']",0,136.0,305.34,64.7,100.0,3668,5665,43653,334,232,106,1.9,7,527,31,39
Dan Fouts,,15,[],1,123.0,,58.8,80.2,3297,5604,43040,254,237,242,4.3,12,319,21,23
Kerry Collins,,17,[],0,,,55.7,73.8,3487,6261,40922,208,206,196,3.1,20,337,21,30
