player_id,player_name,weight,height,school,grade
23592,Steve Spurrier,,,Florida,
23593,Bob Griese,,,Purdue,
23614,Don Horn,,,San Diego State,
23616,Bo Burris,,,Houston,
23619,Bob Davis,,,Virginia,
23654,Vidal Carlin,,,North Texas,
12375,Terry Southall,,,Baylor,
23681,Tim Jones,,,Weber State,
12379,Virgil Carter,,,BYU,
12389,Rick Egloff,,,Wyoming,
12395,Corey Colehour,,,North Dakota,
12401,Bruce Matte,,,Miami (OH),
12637,Greg Landry,,,UMass,
12656,Gary Beban,,,UCLA,
12674,Mike Livingston,,,SMU,
12678,Ken Stabler,,,Alabama,
12682,Gary Davis,,,Vanderbilt,
12693,Billy Stevens,,,UTEP,
12740,Ronnie South,,,Arkansas,
12768,Kim Hammond,,,Florida State,
12781,Dewey Warren,,,Tennessee,
12796,John Schneider,,,Toledo,
13093,Greg Cook,,,Cincinnati,
13097,Marty Domres,,,Columbia,
13118,Terry Hanratty,,,Notre Dame,
13129,Bobby Douglass,,,Kansas,
13140,Al Woodall,,,Duke,
13198,Onree Jackson,,,Alabama A&M,
13531,Terry Bradshaw,,,Louisiana Tech,
13533,Mike Phipps,,,Purdue,
13560,Dennis Shaw,,,San Diego State,
13581,Bill Cappleman,,,Florida State,
13656,Steve Ramsey,,,North Texas,
13660,Bob Cutburth,,,Oklahoma State,
13668,Rusty Clark,,,Houston,
13680,Mike Cilek,,,Iowa,
13703,Gordon Slade,,,Davidson,
13971,Jim Plunkett,,,Stanford,
13972,Archie Manning,,,Ole Miss,
13973,Dan Pastorini,,,Santa Clara,
14026,Lynn Dickey,,,Kansas State,
14029,Leo Hart,,,Duke,
14037,Ken Anderson,,,Augustana College (IL),
14048,Karl Douglas,,,Texas A&M-Kingsville,
14069,Joe Theismann,,,Notre Dame,
14110,Scott Hunter,,,Alabama,
14120,Frank Harris,,,Boston College,
14137,Buddy Lee,,,LSU,
14423,Jerry Tagge,,,Nebraska,
14426,John Reaves,,,Florida,
14452,Pat Sullivan,,,Auburn,
14579,Jim Fassel,,,Long Beach State,
14591,Dean Carlson,,,Iowa State,
14856,Bert Jones,,,LSU,
14887,Gary Huff,,,Florida State,
14891,Ron Jaworski,,,Youngstown State,
14899,Gary Keithley,,,UTEP,
14911,Joe Ferguson,,,Arkansas,
14918,Dan Fouts,,,Oregon,
14934,Mike Wells,,,Illinois,
14954,Randy Mattingly,,,Evansville,
14965,Don Strock,,,Virginia Tech,
15349,Danny White,,,Arizona State,
15362,David Jaynes,,,Kansas,
15365,Kim McQuilken,,,Lehigh,
15366,Gary Marangi,,,Boston College,
15376,Carl Summerell,,,East Carolina,
15383,Mike Boryla,,,Stanford,
15395,Norris Weese,,,Ole Miss,
15429,Jesse Freitas,,,San Diego State,
15739,Steve Bartkowski,,,California,
15792,Mike Franckowiak,,,Central Michigan,
15802,Gary Sheide,,,BYU,
15854,Steve Grogan,,,Kansas State,
15866,Dave Humm,,,Nebraska,
15873,Bob Avellini,,,Maryland,
15880,Tom Shuman,,,Penn State,
15898,Steve Joachim,,,Temple,
15914,Pat Haden,,,USC,
16187,Richard Todd,,,Alabama,
16228,Mike Kruczek,,,Boston College,
16231,Jeb Blount,,,Tulsa,
16274,Steve Myer,,,New Mexico,
16278,Gene Swick,,,Toledo,
16288,Craig Penrose,,,San Diego State,
16324,Mike Kirkland,,,Arkansas,
16358,Scott Bull,,,Arkansas,
16364,Parnell Dickinson,,,Mississippi Valley State,
16368,Bob Bateman,,,Brown,
16686,Steve Pisarkiewicz,,,Missouri,
16694,Tommy Kramer,,,Rice,
16721,Glenn Carano,,,UNLV,
16758,Vince Ferragamo,,,Nebraska,
16782,Fred Besana,,,California,
16784,Randy Dean,,,Northwestern,
16788,Cliff Stoudt,,,Youngstown State,
16795,Cliff Olander,,,New Mexico State,
16807,Vince Evans,,,USC,
16827,Tommy Duniven,,,Texas Tech,
17019,Doug Williams,,,Grambling,
17052,Matt Cavanaugh,,,Pittsburgh,
17053,Guy Benjamin,,,Stanford,
17070,Mark Miller,,,Bowling Green,
17075,Gifford Nielsen,,,BYU,
17106,Pete Woods,,,Missouri,
17107,Mark Manges,,,Maryland,
17133,Rob Hertel,,,USC,
17144,Mike Rieker,,,Lehigh,
17339,Jack Thompson,,,Washington State,
17343,Phil Simms,,,Morehead State,
17359,Steve Fuller,,,Clemson,
17418,Joe Montana,,,Notre Dame,
17433,Steve Dils,,,Stanford,
17452,Dan Manucci,,,Kansas State,
17468,Rick Leach,,,Michigan,
17469,Chuck Fusina,,,Penn State,
17490,Mike Moroski,,,UC Davis,
17681,Marc Wilson,,,BYU,
17694,Mark Malone,,,Arizona State,
17703,Gene Bradley,,,Arkansas State,
17751,Eric Hipple,,,Utah State,
17755,Rusty Lisch,,,Notre Dame,
17767,Ed Luther,,,San José State,
17775,Paul McDonald,,,USC,
17776,Bill Hurley,,,Syracuse,
17799,Gary Hogeboom,,,Central Michigan,
17811,Scott Brunner,,,Delaware,
17848,Craig Bradshaw,,,Utah State,
18005,Rich Campbell,,,California,
18032,Neil Lomax,,,Portland State,
18089,Tom Flick,,,Washington,
18095,Brad Wright,,,New Mexico,
18097,Mark Herrmann,,,Purdue,
18335,Art Schlichter,,,Ohio State,
18336,Jim McMahon,,,BYU,
18375,Oliver Luck,,,West Virginia,
18379,Matt Kofler,,,San Diego State,
18415,Mike Pagel,,,Arizona State,
18480,Mike Kelley,,,Georgia Tech,
18485,Mike Machurek,,,Idaho State,
18666,John Elway,,,Stanford,
18672,Todd Blackledge,,,Penn State,
18679,Jim Kelly,,,Miami,
18680,Tony Eason,,,Illinois,
18689,Ken O'Brien,,,UC Davis,
18692,Dan Marino,,,Pittsburgh,
18802,Jeff Christensen,,,Eastern Illinois,
18827,Reggie Collier,,,Southern Mississippi,
18833,Babe Laufenberg,,,Indiana,
19038,Boomer Esiason,,,Maryland,
19059,Jeff Hostetler,,,West Virginia,
19080,Rick McIvor,,,Texas,
19083,Jay Schroeder,,,UCLA,
19113,Steve Pelluer,,,Washington,
19138,Dean May,,,Louisville,
19148,Ben Bennett,,,Duke,
19153,Randy Wright,,,Wisconsin,
19158,Terry Nugent,,,Colorado State,
19160,John Witkowski,,,Columbia,
19191,Scott Campbell,,,Purdue,
19373,Randall Cunningham,,,UNLV,
19393,Frank Reich,,,Maryland,
19478,Steve Bono,,,UCLA,
19479,Rusty Hilger,,,Oklahoma State,
19504,Scott Barry,,,UC Davis,
19675,Jim Everett,,,Purdue,
19684,Chuck Long,,,Iowa,
19719,Jack Trudeau,,,Illinois,
19739,Bubby Brister,,,UL Monroe,
19743,Hugh Millen,,,Washington,
19744,Robbie Bosco,,,BYU,
19771,Doug Gaynor,,,Long Beach State,
19818,Mark Rypien,,,Washington State,
19822,Stan Gelbaugh,,,Maryland,
19846,Mike Norseth,,,Kansas,
20006,Vinny Testaverde,,,Miami,
20011,Kelly Stouffer,,,Colorado State,
20018,Chris Miller,,,Oregon,
20031,Jim Harbaugh,,,Michigan,
20069,Cody Carlson,,,Baylor,
20093,Mark Vlasic,,,Iowa,
