Player,pass_yds,yrs_active,team,comp,att,pass_td,passer_rate,int,sacks,yds_lost,pick_6,pass_yds_game,comp_%,int_%,comebacks,wAV,game_win_drive,num_teams,teams,hof,tot_yrs_played,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict,_merge
Tom Brady,89214.0,2000-2022,2TM,7753.0,12050.0,649.0,97.2,212.0,565.0,3576.0,18.0,266.3,64.3%,1.8%,46.0,184.0,58.0,2.0,tm,0.0,23.0,2000.0,2022.0,317.62,600.483,"{'Patriots': 230.324, 'Buccaneers': 87.296}",both
Drew Brees,80358.0,2001-2020,2TM,7142.0,10551.0,571.0,98.7,243.0,420.0,2991.0,27.0,280.0,67.7%,2.3%,36.0,167.0,53.0,2.0,tm,0.0,20.0,2001.0,2020.0,273.933,514.108,"{'Saints': 259.25, 'Chargers': 14.683}",both
Peyton Manning,71940.0,1998-2015,2TM,6125.0,9380.0,539.0,96.5,251.0,303.0,1953.0,27.0,270.5,65.3%,2.7%,43.0,176.0,54.0,2.0,tm,1.0,18.0,1998.0,2015.0,247.714,645.366,"{'Colts': 170.714, 'Broncos': 77.0}",both
Brett Favre,71838.0,1991-2010,4TM,6300.0,10169.0,508.0,86.0,336.0,525.0,3487.0,32.0,237.9,62.0%,3.3%,28.0,158.0,43.0,4.0,tm,1.0,20.0,1991.0,2010.0,141.407,492.126,"{'Packers': 100.697, 'Vikings': 28.0, 'Jets': 12.0, 'Falcons': 0.71}",both
Ben Roethlisberger,64088.0,2004-2021,pit,5440.0,8443.0,418.0,93.5,211.0,554.0,3677.0,18.0,257.4,64.4%,2.5%,41.0,131.0,53.0,1.0,PIT,0.0,18.0,2004.0,2021.0,266.724,474.559,{'Steelers': 266.724},both
Philip Rivers,63440.0,2004-2020,2TM,5277.0,8134.0,421.0,95.2,209.0,464.0,2832.0,25.0,260.0,64.9%,2.6%,29.0,149.0,35.0,2.0,tm,0.0,17.0,2004.0,2020.0,242.15,454.719,"{'Chargers': 217.15, 'Colts': 25.0}",both
Matt Ryan,62792.0,2008-2022,2TM,5551.0,8464.0,381.0,93.6,183.0,488.0,3264.0,20.0,268.3,65.6%,2.2%,38.0,146.0,46.0,2.0,tm,0.0,15.0,2008.0,2022.0,306.206,501.678,"{'Falcons': 269.5, 'Colts': 36.706}",both
Dan Marino,61361.0,1983-1999,mia,4967.0,8358.0,420.0,86.4,252.0,270.0,1930.0,29.0,253.6,59.4%,3.0%,33.0,145.0,47.0,1.0,MIA,1.0,17.0,1983.0,1999.0,51.0,180.511,{'Dolphins': 51.0},both
Aaron Rodgers,60148.0,2005-2024,2TM,5112.0,7843.0,482.0,103.0,109.0,544.0,3704.0,5.0,254.9,65.2%,1.4%,21.0,163.0,32.0,2.0,tm,0.0,20.0,2005.0,9999.0,343.531,546.133,"{'Packers': 306.642, 'Jets': 36.889}",both
Matthew Stafford,57285.0,2009-2024,2TM,4952.0,7824.0,360.0,90.9,183.0,490.0,3257.0,30.0,271.5,63.3%,2.3%,36.0,121.0,45.0,2.0,tm,0.0,16.0,,,,,,left_only
Eli Manning,57023.0,2004-2019,nyg,4895.0,8119.0,366.0,84.1,244.0,411.0,2870.0,22.0,241.6,60.3%,3.0%,27.0,121.0,37.0,1.0,NYG,0.0,16.0,2004.0,2019.0,232.49,450.736,{'Giants': 232.49},both
John Elway,51475.0,1983-1998,den,4123.0,7250.0,300.0,79.9,226.0,516.0,3785.0,18.0,220.0,56.9%,3.1%,31.0,140.0,40.0,1.0,DEN,1.0,16.0,1983.0,1998.0,47.445,133.859,{'Broncos': 47.445},both
