player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay,player_nfl,draft_yr,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ,team_names,teams,hof_yr,_merge
Case Keenum,Houston,160.6,4.0,2007.0,2011.0,1546,2229,69.4,19217,155,46,2529,20114,178,8.6,9.1,,337.1,8.0,Case Keenum,2012.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Broncos', 'Browns', 'Texans', 'Commanders', 'Bills', 'Vikings', 'Rams']",0,0.0,both
Luke Falk,Washington State,,3.0,2014.0,2017.0,1404,2055,68.3,14486,119,,2306,14086,123,,,,344.9,,Luke Falk,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['Dolphins', 'Jets', 'Titans']",0,0.0,both
Landry Jones,Oklahoma,,3.0,2009.0,2012.0,1388,2183,63.6,16646,123,52,2315,16271,126,,,,314.1,7.0,Landry Jones,1980.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Steelers', 'Jaguars']",0,0.0,both
Bo Nix,Oregon,149.6,4.0,2019.0,2023.0,1286,1936,66.4,15351,113,,2341,16964,152,,8.5,,251.7,7.2,Bo Nix,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Broncos'],0,0.0,both
Sean Mannion,Oregon State,,3.0,2011.0,2014.0,1187,1838,64.6,13600,83,54,1970,12796,85,,,,289.4,,Sean Mannion,2015.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Vikings', 'Rams', 'Seahawks']",0,0.0,both
Colt McCoy,Texas,155.0,3.0,2006.0,2009.0,1157,1645,70.3,13253,112,45,2092,14824,132,8.1,8.2,,250.1,7.1,Colt McCoy,2010.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"['Commanders', 'Cardinals', 'Giants', 'Browns']",0,0.0,both
Kellen Moore,Boise State,169.0,3.0,2008.0,2011.0,1157,1658,69.8,14667,142,,1759,14534,146,8.8,9.8,,276.7,8.3,Kellen Moore,2008.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cowboys', 'Lions']",0,0.0,both
Sam Hartman,Notre Dame,147.2,5.0,2018.0,2023.0,1135,1898,,15656,134,49,2359,16634,154,8.2,8.5,13.8,260.9,7.1,Sam Hartman,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Commanders'],0,0.0,both
Holton Ahlers,East Carolina,,4.0,2018.0,2022.0,1127,1857,,13927,97,,2326,15373,123,,,,253.2,,Holton Ahlers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Seahawks'],0,0.0,both
Chase Daniel,Missouri,148.9,3.0,2005.0,2008.0,1094,1609,68.0,12515,101,41,1973,13485,111,,,,245.4,6.8,Chase Daniel,2009.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Eagles', 'Chiefs', 'Bears', 'Lions', 'Chargers', 'Saints', 'Commanders']",0,0.0,both
Derek Carr,Fresno State,152.8,4.0,2009.0,2013.0,1087,1630,66.7,12843,113,,1794,13033,118,,8.6,,291.9,7.3,Derek Carr,2014.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Raiders', 'Saints']",0,0.0,both
Philip Rivers,North Carolina State,144.2,3.0,2000.0,2003.0,1087,1710,63.6,13484,95,,1962,13580,113,,8.1,,275.2,6.9,Philip Rivers,2004.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Chargers', 'Colts']","['San Diego Chargers 2004-2018', 'Los Angeles Chargers 2019', 'Indianapolis Colts 2020']",0.0,both
Michael Penix Jr.,Washington,146.6,5.0,2018.0,2023.0,1067,1685,63.3,13741,96,,1819,14006,109,8.2,8.4,,286.3,7.7,Michael Penix Jr.,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Falcons'],0,0.0,both
Zac Dysert,Miami (OH),,3.0,2009.0,2012.0,1066,1672,63.8,12013,73,51,2133,12678,85,,,,261.2,,Zac Dysert,2013.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Broncos', 'Cowboys', 'Cardinals', 'Texans', 'Bills']",0,0.0,both
Luke McCown,Louisiana Tech,,3.0,2000.0,2003.0,1063,1775,,12666,87,62,2049,12731,97,,,,294.6,,Luke McCown,2004.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Jaguars', 'Buccaneers', 'Saints', 'Falcons', 'Browns', 'Cowboys']",0,0.0,both
Kenny Pickett,Pitt,,4.0,2017.0,2021.0,1045,1674,62.4,12303,81,,2090,13112,102,,,,236.6,,Kenny Pickett,2022.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Steelers'],0,0.0,both
Brett Rypien,Boise State,149.2,3.0,2015.0,2018.0,1036,1619,64.0,13581,90,,1829,13484,95,8.4,8.7,,271.6,7.4,Brett Rypien,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Broncos', 'Rams', 'Jets', 'Seahawks']",0,0.0,both
Keith Wenning,Ball State,,3.0,2010.0,2013.0,1035,1642,63.0,11402,92,42,1832,11730,106,,,,232.7,,Keith Wenning,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Ravens', 'Bengals', 'Giants']",0,0.0,both
Chris Redman,Louisville,,3.0,1996.0,1999.0,1031,1679,61.4,12541,84,51,1846,12129,87,,,,291.7,,Chris Redman,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],"['Baltimore Ravens 2000-2003', 'Atlanta Falcons 2007-2011']",0.0,both
Baker Mayfield,Oklahoma,175.4,4.0,2013.0,2017.0,1026,1497,68.5,14607,131,,1901,15690,153,9.8,10.6,14.2,304.3,8.3,Baker Mayfield,2018.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"['Browns', 'Buccaneers', 'Panthers', 'Rams']","['Cleveland Browns 2018-2021', 'Carolina Panthers 2022', 'Los Angeles Rams 2022', 'Tampa Bay Buccaneers 2023-2024']",0.0,both
Brandon Doughty,Western Kentucky,161.0,4.0,2011.0,2015.0,1023,1491,68.6,12855,111,,1593,12570,115,8.6,9.1,,299.0,7.9,Brandon Doughty,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Dolphins'],0,0.0,both
Cooper Rush,Central Michigan,,3.0,2013.0,2016.0,1022,1648,62.0,12894,90,55,1863,12786,95,,,,257.9,6.9,Cooper Rush,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cowboys', 'Giants']",0,0.0,both
Connor Halliday,Washington State,,3.0,2011.0,2014.0,1014,1634,62.1,11308,90,50,1746,10816,90,,,,323.1,,Connor Halliday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Commanders'],0,0.0,both
Matt Barkley,USC,148.7,3.0,2009.0,2012.0,1001,1562,64.1,12327,116,48,1694,12214,122,,,,262.3,7.2,Matt Barkley,2013.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"['Bills', 'Eagles', 'Cardinals', 'Bengals', 'Bears', '49ers', 'Panthers', 'Giants', 'Jaguars', 'Titans', 'Falcons']",0,0.0,both
Brock Purdy,Iowa State,151.1,3.0,2018.0,2021.0,993,1467,67.7,12170,81,,1832,13347,100,8.3,8.4,,253.5,7.3,Brock Purdy,2022.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,['49ers'],"['San Francisco 49ers 2022', 'San Francisco 49ers 2022-2024']",0.0,both
