player,team,draft,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ
Aaron Brooks,Green Bay Packers,1999,1,0,0,0,1,0,1,1
Aaron Rodgers,Green Bay Packers,2005,1,1,0,1,1,1,0,1
Al Dorow,Washington Redskins,1952,1,0,0,1,0,0,1,1
Alex Smith,Buffalo Bills,2005,1,0,0,0,1,1,0,1
Alex Tanney,Undrafted,2015,1,0,0,0,1,1,0,1
Andrew Luck,Indianapolis Colts,2012,1,0,1,1,1,1,1,1
Andy Dalton,Cincinnati Bengals,2011,1,0,0,1,1,1,0,1
Archie Manning,New Orleans Saints,1971,1,0,0,1,1,0,1,1
Babe Parilli,Green Bay Packers,1952,1,0,1,1,1,0,1,1
Baker Mayfield,Cleveland Browns,2018,1,0,0,0,1,1,0,1
Bart Starr,Green Bay Packers,1956,1,1,1,1,1,0,1,1
Ben Roethlisberger,Pittsburgh Steelers,2004,1,0,1,1,1,1,1,1
Bernie Kosar,Cleveland Browns,0,1,0,0,0,1,0,1,1
Bert Jones,Baltimore Colts,1973,1,0,0,1,1,0,1,1
Bill Kenney,Miami Dolphins,1978,1,0,0,0,1,0,1,1
Bill Munson,Los Angeles Rams,1964,1,0,0,0,1,0,1,1
Bill Nelsen,Pittsburgh Steelers,1963,1,0,1,0,1,0,1,1
Billy Kilmer,San Francisco 49ers,1961,1,0,1,0,1,0,1,1
Billy Wade,Los Angeles Rams,1952,1,0,0,1,1,0,1,1
Blaine Gabbert,Jacksonville Jaguars,2011,1,0,0,0,0,1,1,1
Blake Bortles,Jacksonville Jaguars,2014,1,0,0,0,1,1,1,1
Bob Berry,Philadelphia Eagles,1964,1,0,0,0,1,0,1,1
Bob Griese,Miami Dolphins,1967,1,1,1,1,1,0,1,1
Bobby Hebert,Undrafted,0,1,0,1,0,1,0,1,1
Bobby Layne,Chicago Bears,1948,1,1,1,1,1,0,1,1
Boomer Esiason,Cincinnati Bengals,1984,1,0,0,1,1,0,1,1
Brad Johnson,Minnesota Vikings,1992,1,0,1,1,1,0,1,1
Brett Favre,Atlanta Falcons,1991,1,1,1,1,1,1,1,1
Brett Smith,Buffalo Bills,1985,1,1,0,1,0,0,0,1
Brian Griese,Denver Broncos,1998,1,0,1,0,1,0,1,1
Brian Hoyer,Undrafted,2009,1,0,0,0,1,1,1,1
Brian Sipe,Cleveland Browns,1972,1,0,1,1,1,0,1,1
Brock Osweiler,Denver Broncos,2012,1,0,0,0,0,1,1,1
