Player,Yds_x,Years,Tm,Cmp,Att,TD,Rate,Int,Sk,Yds_y,Pick6,Y/G,Cmp%,Int%,4QC,GWD
Tom Brady,89214.0,2000-2022,2TM,7753.0,12050.0,649.0,97.2,212.0,565.0,3576.0,18.0,266.3,64.3%,1.8%,46.0,58.0
Drew Brees,80358.0,2001-2020,2TM,7142.0,10551.0,571.0,98.7,243.0,420.0,2991.0,27.0,280.0,67.7%,2.3%,36.0,53.0
Peyton Manning+,71940.0,1998-2015,2TM,6125.0,9380.0,539.0,96.5,251.0,303.0,1953.0,27.0,270.5,65.3%,2.7%,43.0,54.0
Brett Favre+,71838.0,1991-2010,4TM,6300.0,10169.0,508.0,86.0,336.0,525.0,3487.0,32.0,237.9,62.0%,3.3%,28.0,43.0
Ben Roethlisberger,64088.0,2004-2021,pit,5440.0,8443.0,418.0,93.5,211.0,554.0,3677.0,18.0,257.4,64.4%,2.5%,41.0,53.0
Philip Rivers,63440.0,2004-2020,2TM,5277.0,8134.0,421.0,95.2,209.0,464.0,2832.0,25.0,260.0,64.9%,2.6%,29.0,35.0
Matt Ryan,62792.0,2008-2022,2TM,5551.0,8464.0,381.0,93.6,183.0,488.0,3264.0,20.0,268.3,65.6%,2.2%,38.0,46.0
Dan Marino+,61361.0,1983-1999,mia,4967.0,8358.0,420.0,86.4,252.0,270.0,1930.0,29.0,253.6,59.4%,3.0%,33.0,47.0
Aaron Rodgers,60148.0,2005-2024,2TM,5112.0,7843.0,482.0,103.0,109.0,544.0,3704.0,5.0,254.9,65.2%,1.4%,21.0,32.0
Matthew Stafford,57285.0,2009-2024,2TM,4952.0,7824.0,360.0,90.9,183.0,490.0,3257.0,30.0,271.5,63.3%,2.3%,36.0,45.0
Eli Manning,57023.0,2004-2019,nyg,4895.0,8119.0,366.0,84.1,244.0,411.0,2870.0,22.0,241.6,60.3%,3.0%,27.0,37.0
John Elway+,51475.0,1983-1998,den,4123.0,7250.0,300.0,79.9,226.0,516.0,3785.0,18.0,220.0,56.9%,3.1%,31.0,40.0
Warren Moon+,49325.0,1984-2000,4TM,3988.0,6823.0,291.0,80.9,233.0,458.0,3415.0,,237.1,58.4%,3.4%,25.0,35.0
Fran Tarkenton+,47003.0,1961-1978,2TM,3686.0,6467.0,342.0,80.4,266.0,570.0,5207.0,12.0,191.1,57.0%,4.1%,29.0,33.0
Carson Palmer,46247.0,2004-2017,3TM,3941.0,6307.0,294.0,87.9,187.0,340.0,2364.0,23.0,254.1,62.5%,3.0%,22.0,35.0
Vinny Testaverde,46233.0,1987-2007,7TM,3787.0,6701.0,275.0,75.0,267.0,417.0,2992.0,,198.4,56.5%,4.0%,29.0,33.0
Drew Bledsoe,44611.0,1993-2006,3TM,3839.0,6717.0,251.0,77.1,206.0,467.0,3135.0,15.0,230.0,57.2%,3.1%,24.0,31.0
Joe Flacco,44463.0,2008-2024,5TM,4053.0,6573.0,250.0,84.5,155.0,392.0,2808.0,,234.0,61.7%,2.4%,20.0,26.0
