Rk,Player,Pos,Indct,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,APYd,TD,Comb,Sk,Int
61,Kurt Warner,QB,2017,1998,2009,2,4,8,96,124,2666,4070,32344,208,85,128,260,1669,173,286,3,23,1,0,0,0,186,3,0,0.0,0
62,Brett Favre,QB,2016,1991,2010,3,11,19,158,302,6300,10169,71838,508,99,336,525,3487,602,1844,14,40,2,-7,0,2,1654,14,0,0.0,0
66,Ken Stabler,QB,2016,1970,1984,1,4,11,93,184,2270,3793,27938,194,88,222,281,2514,118,93,4,18,,,0,,-2,4,0,0.0,0
123,Troy Aikman,QB,2006,1989,2000,0,6,12,96,165,2898,4715,32942,165,90,141,259,1748,327,1016,9,25,2,-19,0,0,934,9,0,0.0,0
125,Warren Moon,QB,2006,1984,2000,0,9,15,116,208,3988,6823,49325,291,87,233,458,3415,543,1736,22,35,,,0,,1643,22,0,0.0,0
129,Dan Marino,QB,2005,1983,1999,3,9,16,145,242,4967,8358,61361,420,85,252,270,1930,301,87,9,15,1,-6,0,0,-78,9,0,0.0,0
131,Steve Young,QB,2005,1985,1999,3,7,9,132,169,2667,4149,33124,232,97,107,358,2055,722,4239,43,49,2,2,0,6,4168,43,0,0.0,0
134,John Elway,QB,2004,1983,1998,0,9,16,140,234,4123,7250,51475,300,86,226,516,3785,774,3407,33,31,3,61,1,24,3333,34,0,0.0,0
142,Jim Kelly,QB,2002,1986,1996,1,5,11,103,160,2874,4779,35467,237,84,175,323,2427,304,1049,7,24,2,40,0,35,1017,7,0,0.0,0
152,Joe Montana,QB,2000,1979,1994,3,8,12,125,192,3409,5391,40551,273,96,139,313,2095,457,1676,20,21,,,0,,1642,20,0,0.0,0
179,Dan Fouts,QB,1993,1973,1987,2,6,14,123,181,3297,5604,43040,254,81,242,319,2304,224,476,13,32,1,0,0,0,386,13,0,0.0,0
